mac_timestamp,esp32_ms,ax,ay,az,gx,gy,gz
1778268773.9589727,259502,-4.60,3.71,6.53,-2.71,0.76,0.77
1778268773.959627,259524,-4.54,3.74,6.44,-2.84,0.48,0.76
1778268774.015946,259546,-4.61,3.68,6.42,-2.79,0.73,0.64
1778268774.0180697,259568,-4.59,3.66,6.53,-2.61,0.84,0.95
1778268774.077387,259590,-4.57,3.71,6.50,-2.97,0.63,0.68
1778268774.0809257,259612,-4.64,3.73,6.55,-2.66,0.73,0.94
1778268774.082927,259634,-4.53,3.67,6.45,-2.11,0.50,0.98
1778268774.1387901,259656,-4.61,3.69,6.46,-2.16,0.68,0.92
1778268774.1403656,259678,-4.60,3.75,6.50,-1.92,0.68,0.98
1778268774.1416304,259700,-4.63,3.71,6.48,-2.05,0.60,0.92
1778268774.19683,259722,-4.49,3.71,6.48,-2.06,0.69,0.81
1778268774.1987262,259744,-4.62,3.76,6.49,-2.08,0.80,0.79
1778268774.2554862,259766,-4.54,3.62,6.43,-2.44,0.79,0.57
1778268774.2566082,259788,-4.62,3.75,6.51,-2.51,0.69,0.79
1778268774.2572055,259810,-4.56,3.69,6.47,-2.85,0.64,0.92
1778268774.3154967,259832,-4.59,3.72,6.52,-2.78,0.73,1.00
1778268774.3171518,259854,-4.58,3.75,6.50,-2.35,0.73,1.05
1778268774.3187776,259876,-4.61,3.70,6.51,-1.58,0.76,1.01
1778268774.3759062,259898,-4.58,3.69,6.53,-1.64,0.68,0.95
1778268774.3776755,259920,-4.57,3.71,6.43,-1.76,0.60,0.94
1778268774.3784769,259942,-4.56,3.69,6.51,-2.10,0.63,0.63
1778268774.4362743,259964,-4.55,3.71,6.54,-1.66,0.73,0.92
1778268774.4377074,259986,-4.62,3.76,6.45,-2.52,0.63,0.66
1778268774.4955506,260008,-4.58,3.72,6.42,-2.96,0.73,0.69
1778268774.498668,260030,-4.62,3.74,6.44,-2.62,0.66,0.78
1778268774.4998887,260052,-4.52,3.76,6.45,-2.11,0.66,0.98
1778268774.5568976,260074,-4.60,3.68,6.42,-2.02,0.66,0.89
1778268774.5582926,260096,-4.60,3.71,6.47,-1.75,0.68,1.08
1778268774.559445,260118,-4.60,3.72,6.48,-1.79,0.70,0.95
1778268774.6150641,260140,-4.59,3.69,6.48,-1.82,0.55,0.91
1778268774.616228,260162,-4.55,3.71,6.49,-1.76,0.69,0.79
1778268774.6174421,260184,-4.62,3.67,6.45,-1.93,0.53,0.81
1778268774.676651,260206,-4.61,3.74,6.51,-2.18,0.60,0.74
1778268774.6782906,260228,-4.64,3.68,6.46,-2.85,0.75,0.66
1778268774.742671,260250,-4.60,3.78,6.44,-2.71,0.69,0.83
1778268774.745475,260272,-4.59,3.71,6.46,-2.18,0.68,0.91
1778268774.7462792,260294,-4.60,3.69,6.46,-2.19,0.59,0.89
1778268774.7965367,260316,-4.59,3.69,6.46,-2.34,0.57,0.88
1778268774.7980561,260338,-4.55,3.70,6.45,-1.94,0.50,0.98
1778268774.7991772,260360,-4.57,3.66,6.44,-2.05,0.67,1.04
1778268774.856103,260382,-4.57,3.78,6.44,-2.97,0.82,0.68
1778268774.8574793,260404,-4.58,3.63,6.51,-2.94,0.73,0.92
1778268774.921212,260426,-4.54,3.69,6.50,-2.60,0.77,0.89
1778268774.9229226,260448,-4.58,3.75,6.52,-2.08,0.68,0.93
1778268774.9241269,260470,-4.60,3.73,6.44,-2.18,0.75,0.90
1778268774.9753017,260492,-4.59,3.75,6.49,-2.50,0.70,0.76
